iter	Passed	Remaining
1590	2221	1967
1591	2222	1965
1592	2223	1964
1593	2225	1962
1594	2226	1961
1595	2228	1960
1596	2229	1958
1597	2231	1957
1598	2232	1955
1599	2233	1954
1600	2235	1953
1601	2236	1951
1602	2238	1950
1603	2239	1949
1604	2240	1947
1605	2242	1946
1606	2243	1944
1607	2245	1943
1608	2246	1942
1609	2248	1940
1610	2249	1939
1611	2250	1938
1612	2252	1936
1613	2253	1935
1614	2254	1933
1615	2256	1932
1616	2257	1931
1617	2259	1929
1618	2260	1928
1619	2262	1926
1620	2263	1925
1621	2265	1924
1622	2267	1923
1623	2268	1922
1624	2270	1920
1625	2271	1919
1626	2273	1918
1627	2274	1916
1628	2275	1915
1629	2277	1914
1630	2278	1912
1631	2280	1911
1632	2281	1909
1633	2283	1908
1634	2284	1907
1635	2286	1906
1636	2287	1904
1637	2289	1903
1638	2290	1902
1639	2292	1900
1640	2293	1899
1641	2294	1897
1642	2296	1896
1643	2297	1895
1644	2298	1893
1645	2300	1892
1646	2301	1891
1647	2303	1889
1648	2304	1888
1649	2306	1887
1650	2307	1885
1651	2309	1884
1652	2310	1882
1653	2311	1881
1654	2313	1879
1655	2314	1878
1656	2316	1877
1657	2317	1876
1658	2319	1874
1659	2320	1873
1660	2322	1871
1661	2323	1870
1662	2324	1869
1663	2326	1867
1664	2327	1866
1665	2329	1865
1666	2330	1863
1667	2331	1862
1668	2333	1860
1669	2334	1859
1670	2336	1858
1671	2337	1856
1672	2338	1855
1673	2340	1854
1674	2341	1852
1675	2343	1851
1676	2345	1850
1677	2347	1849
1678	2348	1847
1679	2350	1846
1680	2351	1845
1681	2353	1843
1682	2354	1842
1683	2355	1841
1684	2357	1839
1685	2358	1838
1686	2360	1837
1687	2361	1835
1688	2362	1834
1689	2363	1832
1690	2365	1831
1691	2366	1829
1692	2368	1828
1693	2369	1826
1694	2371	1825
1695	2372	1824
1696	2374	1823
1697	2375	1821
1698	2377	1820
1699	2378	1818
1700	2380	1817
1701	2381	1816
1702	2382	1814
1703	2384	1813
1704	2385	1812
1705	2387	1810
1706	2388	1809
1707	2390	1808
1708	2391	1806
1709	2393	1805
1710	2395	1804
1711	2396	1803
1712	2398	1801
1713	2399	1800
1714	2401	1799
1715	2402	1797
1716	2403	1796
1717	2405	1794
1718	2406	1793
1719	2407	1791
1720	2409	1790
1721	2411	1789
1722	2413	1788
1723	2414	1786
1724	2415	1785
1725	2417	1784
1726	2418	1782
1727	2420	1781
1728	2421	1780
1729	2423	1778
1730	2424	1777
1731	2425	1775
1732	2427	1774
1733	2428	1773
1734	2430	1772
1735	2432	1770
1736	2433	1769
1737	2434	1768
1738	2436	1766
1739	2437	1765
1740	2439	1764
1741	2441	1762
